source,xmlPath,metric,rawMetric,value
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/PM2_Heat3D.xml,CCCC_Project/module_summary[0]/lines_of_code[4],lines_of_code,lines_of_code,28.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/PM2_Heat3D.xml,CCCC_Project/module_summary[0]/McCabes_cyclomatic_complexity[2],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,24.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/PM2_Heat3D.xml,CCCC_Project/module_summary[0]/lines_of_code[0],lines_of_code,lines_of_code,544.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[16]/McCabes_cyclomatic_complexity_per_line_of_comment[6],mccabes_cyclomatic_complexity_per_line_of_comment,McCabes_cyclomatic_complexity_per_line_of_comment,1.75
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[16]/lines_of_code_per_line_of_comment[5],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,11.625
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[16]/lines_of_comment[4],lines_of_comment,lines_of_comment,8.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[16]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,14.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[16]/lines_of_code[2],lines_of_code,lines_of_code,93.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[15]/lines_of_code_per_line_of_comment[5],lines_of_code_per_line_of_comment,lines_of_code_per_line_of_comment,11.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[15]/lines_of_comment[4],lines_of_comment,lines_of_comment,2.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[15]/McCabes_cyclomatic_complexity[3],mccabes_cyclomatic_complexity,McCabes_cyclomatic_complexity,2.0
/home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/ProgrammabilityMetricsOutput/Heat3D/PM2/raw/cccc/anonymous.xml,CCCC_Project/procedural_detail[2]/member_function[15]/lines_of_code[2],lines_of_code,lines_of_code,22.0
