metric,value
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.cpp.percentageTokens,3.51
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.cpp.newDuplicatedLines,0
formats.cpp.sources./home/NETID/kyryllk/497finalprograms/FinalizedReadyForMetrics/DGEMM/SUMMA/MASS/DGEMMPlace.cpp.newClones,0
formats.cpp.total.lines,1187
formats.cpp.total.tokens,7967
formats.cpp.total.sources,2
formats.cpp.total.clones,1
formats.cpp.total.duplicatedLines,16
formats.cpp.total.duplicatedTokens,114
formats.cpp.total.percentage,1.35
formats.cpp.total.percentageTokens,1.43
formats.cpp.total.newDuplicatedLines,0
formats.cpp.total.newClones,0
total.lines,1438
total.tokens,9316
total.sources,4
total.clones,1
total.duplicatedLines,16
total.duplicatedTokens,114
total.percentage,1.11
total.percentageTokens,1.22
total.newDuplicatedLines,0
total.newClones,0
